id;name;unit;current_stock;reserved_stock;low_stock_threshold;price;classification;active
1;hoof wherever pace;unimpressively failing forenenst;3457;29894;25050;23599.14;CONTROLLED;true
2;roundabout outside eek;culminate ample;6087;3727;26031;27916.47;CONTROLLED;true
3;puff hastily madly;sociable;2496;11231;16473;22198.63;OTC;true
4;consequently;doubter;4422;4348;23433;15349.35;CONTROLLED;true
5;forenenst mom allocation;equatorial vivaciously twist;13034;14767;21326;13633.14;CONTROLLED;true
6;before horn;flame failing;21855;27282;3862;22750.23;CONTROLLED;true
7;anneal wherever loosely;angrily;11379;29163;19233;18085.23;POM;false
8;ouch throughout hm;negligible curse;30633;22636;17869;27364.04;CONTROLLED;false
9;daintily;loudly;13595;27845;3035;28393.89;OTC;false
10;er ah;unlike furlough;5331;10320;30524;22807.16;CONTROLLED;false
