id;name;service_type;price;active
1;nicely unaware openly;if pfft;12632.78;false
2;orange scholarship torn;readily fooey unhealthy;7374.56;false
3;bah lest;frenetically repossess conjecture;18052.73;true
4;awkwardly kosher;naughty;27208.82;false
5;naturally below mmm;an ugh;28907.87;false
6;lively fooey atop;closely;20342.84;false
7;oil expensive;grizzled pluck um;22719.89;true
8;gape beneath;after hence;9936.71;true
9;unimpressively;circa gadzooks where;3839.8;false
10;mosh gee;quickly;9562.9;false
