id;method;mpesa_reference;insurer_name;confirmation_status;receipt_number;amount;recorded_at;recorded_by_id
1;MPESA;after;stranger;CONFIRMED;near substitution lumbering;22494.09;2026-09-23T11:31:24;1
2;MPESA;knowledgeably but;wide-eyed amid;PENDING;part save;6478.89;2026-09-24T05:16:44;2
3;INSURANCE;nor huzzah and;reorganisation yuck pale;CONFIRMED;qualified between supposing;12923.57;2026-09-24T02:23:43;1
4;CASH;ecliptic trench fax;qua howl;REJECTED;gah hm;11622.14;2026-09-23T20:58:29;1
5;MPESA;drat whereas;immediately pfft violently;PENDING;till notwithstanding gosh;85.81;2026-09-24T01:46:01;1
6;INSURANCE;vice;woot quash;PENDING;zealous yak;190.08;2026-09-23T16:48:23;2
7;CASH;provided;versus;REJECTED;so;21393.19;2026-09-24T09:13:07;2
8;INSURANCE;stay sophisticated scrutinise;edge king lecture;REJECTED;mushy successfully remark;9051.27;2026-09-24T04:31:42;2
9;MPESA;meanwhile blossom;catalyze versus;PENDING;bobble ick till;12925.28;2026-09-23T19:33:12;2
10;INSURANCE;going;outbid;REJECTED;broadly contrail deflate;21590.48;2026-09-23T21:41:41;1
