id;result_value;notes;entered_at;image_reference;entered_by_id
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T02:39:04;deny weakly;1
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-23T10:59:58;fully meanwhile miskey;2
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T08:24:37;to;1
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-23T21:18:54;afore bungalow however;1
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T08:54:04;gadzooks physically;1
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T05:49:12;tabletop disclosure surface;2
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T06:59:34;sharply without gray;1
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-23T11:33:36;boohoo;1
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-23T21:06:24;tame whirlwind;1
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-09-24T05:50:23;excitedly;2
