id;covers_from;covers_to;note;doctor_id;ward_id;assigned_by_id
1;2026-09-25T03:05:02;2026-09-25T08:49:32;but warlike;1;1;1
2;2026-09-24T14:15:34;2026-09-25T01:35:08;which showboat massage;2;2;2
3;2026-09-24T21:57:28;2026-09-25T08:16:31;instead;2;3;1
4;2026-09-25T05:20:06;2026-09-24T18:39:54;hello;2;4;1
5;2026-09-25T01:55:09;2026-09-24T20:41:08;excluding pearl gum;1;5;2
6;2026-09-24T15:47:08;2026-09-24T19:05:59;blacken woeful;1;6;2
7;2026-09-25T06:58:57;2026-09-24T20:05:36;brightly and;2;7;1
8;2026-09-24T17:59:50;2026-09-24T13:08:38;or past generously;2;8;2
9;2026-09-25T09:42:03;2026-09-24T21:28:03;whenever;1;9;2
10;2026-09-25T03:14:45;2026-09-25T04:25:39;ugh tired energetic;2;10;1
